,word,year,count,language,Rank
1283,aa,1801,96,italian,4084.0
1282,aa,1801,598,spanish,4473.0
1285,aa,1807,4849,french,2994.0
1284,aa,1942,3169,german,4923.0
13308,abandon,1800,3124,english,3156.0
13309,abandon,1800,2470,french,4687.0
5676,abate,1800,1418,spanish,2386.0
5677,abate,1800,190,italian,4251.0
14232,abbe,1800,2446,english,3871.0
14233,abbe,1918,5097,german,4262.0
9958,abd,1822,3908,italian,1192.0
9959,abd,1846,14032,french,3915.0
3340,abdomen,1800,3659,french,3346.0
3339,abdomen,1803,696,spanish,4316.0
3338,abdomen,1803,2676,english,4846.0
6639,abdominal,1827,1032,spanish,3289.0
6638,abdominal,1873,17748,english,4300.0
12719,abito,1800,372,italian,2101.0
12718,abito,1816,248,spanish,4842.0
6911,abolition,1801,3868,french,4408.0
6910,abolition,1815,4750,english,4136.0
1298,abraham,1800,3302,english,3017.0
1299,abraham,1810,152,spanish,3866.0
1300,abraham,1830,1598,german,4218.0
1301,abraham,2009,22786,french,4789.0
12881,absence,1800,6448,french,1896.0
12880,absence,1800,5025,english,1943.0
12918,absent,1800,2662,english,3613.0
12919,absent,1801,3947,french,4334.0
14305,absolute,1800,2056,german,331.0
14304,absolute,1800,6082,english,1568.0
2903,absorption,1800,2066,english,4430.0
2905,absorption,1801,5694,french,3125.0
2904,absorption,1877,4418,german,4579.0
13426,abstract,1800,1961,english,4612.0
13427,abstract,1841,2174,german,4652.0
9524,abstraction,1800,305,german,3514.0
9525,abstraction,1800,2455,french,4717.0
1303,abu,1817,884,spanish,2034.0
1302,abu,1821,5397,english,4337.0
1304,abu,1822,4782,italian,910.0
1305,abu,1875,5658,german,3300.0
6220,abuso,1800,1646,spanish,2050.0
6221,abuso,1800,346,italian,2288.0
857,ac,1800,856,italian,721.0
856,ac,1800,1478,spanish,2273.0
855,ac,1800,2955,english,3296.0
859,ac,1800,2863,french,4158.0
858,ac,1807,577,german,2576.0
3398,acad,1807,2422,spanish,1844.0
3399,acad,1810,326,italian,4748.0
3400,acad,1936,8593,french,4940.0
3731,acapulco,1809,450,spanish,1428.0
3732,acapulco,1809,319,german,4626.0
3733,acapulco,1811,3339,french,4080.0
9352,accent,1801,340,german,4114.0
9353,accent,1816,7104,french,2139.0
12575,acceso,1806,451,italian,3778.0
12574,acceso,1821,850,spanish,4880.0
6443,accessible,1989,19345,french,4999.0
6442,accessible,1990,204169,english,4891.0
9851,accidens,1800,5625,french,2193.0
9850,accidens,1834,1716,german,4388.0
13682,accident,1800,4418,english,2243.0
13683,accident,1800,5066,french,2442.0
13626,accidental,1800,1972,english,4586.0
